**************************************************
START LOG TRACE: 14/10/2021 06:28:37.783
**************************************************

14/10/2021 06:28:37.799: Start update interface for slab 148109.

14/10/2021 06:28:38.485: 
|Order Code                                        |Piece Code                                        |Waste|Small|Last |Pick X  |Pick Y  |Pick R  |Pick L  |Pick W  |Pos X   |Pos Y   |Rot     |Len     |Width   |Thick   |Slab Code         |Unique ID                                         |
|Order Code                                        |Piece Code                                        |Waste|Small|Last |Pick X  |Pick Y  |Pick R  |Pick L  |Pick W  |Pos X   |Pos Y   |Rot     |Len     |Width   |Thick   |Slab Code         |Unique ID                                         |
|                                       OFF00090787|                                   _SP00019867_369|    0|    0|    0| -552.19| 2221.02|   90.00|  499.80|  174.93| -552.19| 2221.02|   90.00|  532.00|  175.00|   15.00|SLAB00000000041918|                                            611681|
|                                       OFF00090787|                                   _SP00019867_368|    0|    0|    0| -731.19| 2221.02|   90.00|  499.80|  174.93| -731.19| 2221.02|   90.00|  532.00|  175.00|   15.00|SLAB00000000041918|                                            611682|
|                                       OFF00090787|                                   _SP00019867_367|    0|    0|    0| -910.19| 2221.02|   90.00|  499.80|  174.93| -910.19| 2221.02|   90.00|  532.00|  175.00|   15.00|SLAB00000000041918|                                            611683|
|                                       OFF00090787|                                   _SP00019867_366|    0|    0|    0|-1089.19| 2221.02|   90.00|  499.80|  174.93|-1089.19| 2221.02|   90.00|  532.00|  175.00|   15.00|SLAB00000000041918|                                            611684|
|                                       OFF00090787|                                   _SP00019867_365|    0|    0|    0|-1268.19| 2221.02|   90.00|  499.80|  174.93|-1268.19| 2221.02|   90.00|  532.00|  175.00|   15.00|SLAB00000000041918|                                            611685|
|                                       OFF00090787|                                   _SP00019867_364|    0|    0|    0|-1447.19| 2221.02|   90.00|  499.80|  174.93|-1447.19| 2221.02|   90.00|  532.00|  175.00|   15.00|SLAB00000000041918|                                            611686|
|                                       OFF00090787|                                   _SP00019867_363|    0|    0|    0|-1626.19| 2221.02|   90.00|  499.80|  174.93|-1626.19| 2221.02|   90.00|  532.00|  175.00|   15.00|SLAB00000000041918|                                            611687|
|                                       OFF00090787|                                   _SP00019867_362|    0|    0|    0|-1805.19| 2221.02|   90.00|  499.80|  174.93|-1805.19| 2221.02|   90.00|  532.00|  175.00|   15.00|SLAB00000000041918|                                            611688|
|                                       OFF00090787|                                   _SP00019867_361|    0|    0|    0|-1984.19| 2221.02|   90.00|  499.80|  174.93|-1984.19| 2221.02|   90.00|  532.00|  175.00|   15.00|SLAB00000000041918|                                            611689|
|                                       OFF00090787|                                   _SP00019867_360|    0|    0|    0|-2163.19| 2221.02|   90.00|  499.80|  174.93|-2163.19| 2221.02|   90.00|  532.00|  175.00|   15.00|SLAB00000000041918|                                            611690|
|                                       OFF00090787|                                   _SP00019867_359|    0|    0|    0|-2342.19| 2221.02|   90.00|  499.80|  174.93|-2342.19| 2221.02|  270.00|  532.00|  175.00|   15.00|SLAB00000000041918|                                            611691|
|                                       OFF00090787|                                   _SP00019867_358|    0|    0|    0|-2521.19| 2221.02|   90.00|  499.80|  174.93|-2521.19| 2221.02|  270.00|  532.00|  175.00|   15.00|SLAB00000000041918|                                            611692|
